iter	RMSE
661	7299.370776
662	7298.41442
663	7290.114677
664	7289.206588
665	7277.630973
666	7261.249968
667	7248.274717
668	7241.613164
669	7240.636094
670	7232.516186
671	7218.593826
672	7196.420477
673	7185.200264
674	7172.157087
675	7161.17028
676	7153.823719
677	7151.544822
678	7140.971259
679	7122.686227
680	7119.908718
681	7111.184822
682	7096.125258
683	7088.529877
684	7070.600699
685	7062.229918
686	7050.776398
687	7042.470612
688	7027.532528
689	7014.283691
690	7012.954276
691	7012.074625
692	7011.251996
693	7002.273325
694	6987.764288
695	6978.48558
696	6975.901873
697	6974.383426
698	6963.279685
699	6962.387471
700	6953.225647
701	6946.370394
702	6938.876502
703	6937.995419
704	6932.992014
705	6929.714771
706	6919.605453
707	6912.377318
708	6911.670606
709	6905.320194
710	6893.242016
711	6880.615932
712	6870.008717
713	6859.891652
714	6843.512533
715	6836.019585
716	6835.251581
717	6834.026763
718	6830.673143
719	6829.931969
720	6829.237363
721	6817.731086
722	6815.814575
723	6807.966683
724	6792.913375
725	6777.394194
726	6767.969592
727	6759.956322
728	6744.528919
729	6738.367374
730	6732.600869
731	6730.870133
732	6721.412669
733	6714.324048
734	6705.294389
735	6704.637273
736	6698.630576
737	6686.843803
738	6670.09569
739	6653.243717
740	6639.461798
741	6628.548945
742	6613.636447
743	6600.294704
744	6587.622786
745	6582.118347
746	6572.30213
747	6571.72227
748	6558.398599
749	6548.624452
750	6544.898508
751	6543.928594
752	6543.222444
753	6531.904363
754	6513.689713
755	6511.192221
756	6510.307422
757	6499.977088
758	6497.463677
759	6495.551911
760	6491.166694
761	6490.412521
762	6480.909912
763	6473.462777
764	6464.335554
765	6455.846925
766	6455.116247
767	6453.445273
768	6444.909046
769	6444.217063
770	6430.562291
771	6430.135358
772	6429.463848
773	6422.338382
774	6411.793466
775	6411.242752
776	6398.676327
777	6386.128179
778	6378.368463
779	6374.964276
780	6365.176267
781	6356.085277
782	6352.74869
783	6344.915361
784	6341.451281
785	6333.304048
786	6319.512986
787	6318.913838
788	6308.988122
789	6308.461449
790	6301.03836
791	6294.460549
792	6284.984673
793	6271.680899
794	6271.212585
795	6259.812809
796	6251.017389
797	6249.41866
798	6241.126698
799	6230.953855
800	6222.490607
801	6216.332903
802	6207.736565
803	6196.184929
804	6188.739207
805	6184.027109
806	6177.240111
807	6174.789927
